"","X","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"1",1,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x0","power","naive",0.061,0.163,0.247,0
"2",2,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x0","power","saddle_V1",0.04,0.133,0.219,0
"3",3,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x0","power","saddle_V2",0.032,0.104,0.198,0
"4",4,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x0","size","naive",0.036,0.096,0.162,0
"5",5,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x0","size","saddle_V1",0.022,0.074,0.144,0
"6",6,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x0","size","saddle_V2",0.014,0.062,0.113,0
"7",7,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x1","power","naive",0.065,0.179,0.261,0
"8",8,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x1","power","saddle_V1",0.047,0.147,0.234,0
"9",9,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x1","power","saddle_V2",0.028,0.109,0.205,0
"10",10,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x1","size","naive",0.041,0.105,0.174,0
"11",11,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x1","size","saddle_V1",0.019,0.081,0.15,0
"12",12,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x1","size","saddle_V2",0.011,0.069,0.132,0
"13",13,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x2","power","naive",0.625,0.809,0.872,0
"14",14,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x2","power","saddle_V1",0.534,0.759,0.85,0
"15",15,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x2","power","saddle_V2",0.435,0.707,0.819,0
"16",16,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x2","size","naive",0.033,0.093,0.155,0
"17",17,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x2","size","saddle_V1",0.022,0.08,0.131,0
"18",18,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x2","size","saddle_V2",0.017,0.061,0.119,0
"19",19,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x3","power","naive",0.737,0.859,0.912,0
"20",20,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x3","power","saddle_V1",0.654,0.823,0.89,0
"21",21,25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC0","x3","power","saddle_V2",0.587,0.797,0.868,0
